Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AFE,GB.XPD.RSDV.GD.ZS,,,,0.594840934,0.626378711,0.627772081,,0.661803726,,,0.58708646,,,,,,,,,,,
AFE,IC.LGL.CRED.XQ,,,,,,,,,,,,,,4,4.04,3.923076923,4.076923077,4.307692308,4.538461538,4.538461538,,
AFE,GC.TAX.TOTL.GD.ZS,,,,,,,,,,17.38627794,17.36346966,17.55811475,18.03828172,18.20249908,18.28698479,17.47028209,17.14113023,17.8712242,17.85969392,18.61539828,,
AFE,IC.REG.DURS.FE,,,,77.64705882,71.71428571,66.83333333,60.125,54.5,47.83333333,46.58333333,43.79166667,37.45833333,35.46,33.18,32.38,32.09615385,31.63461538,29.32692308,27.84615385,26.84615385,,
AFE,IC.REG.DURS.MA,,,,77.58823529,71.57142857,66.70833333,60,54.375,47.70833333,46.45833333,43.66666667,37.33333333,35.34,33.06,32.26,31.98076923,31.51923077,29.25,27.80769231,26.80769231,,
AFE,IC.GOV.DURS.ZS,,,,,,,,,,,,,,,,,,,,,6.788888889,
AFE,IC.TAX.TOTL.CP.ZS,,,,,,66.53333333,65.87083333,66.24583333,65.61666667,64.72083333,60.975,55.98333333,54.784,43.304,43.128,42.976,43.06,43.068,43.212,43.06,,
AFE,SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,
AFE,SL.UEM.TOTL.FE.ZS,8.001099897,8.002665662,8.489538886,8.304113015,7.843274298,7.704990014,7.65924079,7.331407776,6.603598976,6.687200041,7.425908086,7.302256511,7.062661195,6.920876984,6.86900777,6.987365651,7.106265958,7.203034111,7.216032323,7.362899172,8.02340483,8.708125843
AFE,SL.UEM.TOTL.MA.ZS,7.482561314,7.495293627,7.490766551,7.329915584,6.835193072,6.592041707,6.389512894,6.208679757,5.975655481,5.999574744,6.3708808,6.255078347,6.118167332,6.023445644,5.993690337,6.047763052,6.168390981,6.278961252,6.296122243,6.510645437,7.154634206,7.580158733
AFE,SP.URB.TOTL.IN.ZS,28.66928645,28.97707398,29.30419872,29.63127254,29.96182423,30.30970467,30.64624325,30.91409378,31.33132106,31.7564714,32.1934098,32.64154811,33.07168716,33.50754797,33.95242436,34.40508391,34.86510094,35.3323726,35.80777012,36.29132207,36.78330615,37.28306499
AFW,IC.BUS.DISC.XQ,,,,,,5.272727273,5.272727273,5.272727273,5.272727273,5.409090909,5.409090909,5.409090909,5.409090909,5.409090909,6.090909091,6.227272727,6.272727273,6.272727273,6.272727273,6.272727273,,
AFW,IC.CRD.INFO.XQ,,,,,,,,,,,,,,0.772727273,1.136363636,1.227272727,1.272727273,1.545454545,1.954545455,3.181818182,,
AFW,FS.AST.PRVT.GD.ZS,8.745148415,9.405604704,8.478855625,9.127163256,8.846248776,8.854136285,8.641534666,12.49424795,15.42155933,16.63741669,13.19886231,12.05770614,11.8190439,12.77493073,14.18643349,14.66239153,16.05188656,15.13609889,13.59130549,13.92537638,14.73913342,
AFW,EG.USE.ELEC.KH.PC,116.7087977,119.0511327,133.754417,123.896644,138.893764,145.3250506,144.9849866,158.4197378,154.5007324,152.7784232,165.0656209,175.1125463,185.5158142,181.1288747,186.1990097,,,,,,,
AFW,EG.IMP.CONS.ZS,-120.5422305,-118.2711943,-98.83530155,-108.5722045,-111.5083314,-108.528981,-106.8865495,-99.316763,-91.94765208,-88.70902245,-95.40260245,-90.77969261,-85.66447623,-76.48616006,-78.21143809,,,,,,,
AFW,GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,
AFW,IT.NET.BBND.P2,,,,,,0.010216456,,0.049794996,0.064922046,0.077397918,0.107400574,,0.110297236,0.108219429,0.135123016,0.145258497,0.242682761,0.238441559,0.274406197,0.278968433,0.391018789,
AFW,IT.MLT.MAIN.P2,0.670676426,0.726993989,0.774893502,0.807569409,0.869794462,0.928685157,1.104767367,1.071108195,0.980372013,1.097142402,0.960697687,0.878461258,0.794428254,0.768954448,0.781707775,0.733039843,0.695990811,0.632892304,0.628646636,0.562474926,0.588729821,
AFW,NY.GDP.MKTP.KD.ZG,3.734665531,5.212683842,9.89954821,5.518474234,8.013452641,5.848364079,5.374481528,5.530898547,6.279223191,6.274497795,6.957030175,4.848332588,5.142996875,6.104192302,5.927355116,2.745894496,0.127844424,2.317679001,2.952189736,3.202544187,-0.897014041,3.914798957
AFW,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,
AFW,SE.XPD.TOTL.GD.ZS,2.565020084,2.42614007,2.59414494,2.751250029,2.681100011,2.726830006,2.56340003,2.946390033,2.723119974,3.089270115,3.078089952,2.865760088,2.872040033,3.029710054,2.914229989,3.115135074,2.780579209,3.430220842,3.013220072,3.023038268,3.173885345,
AFW,TX.VAL.TECH.MF.ZS,,,,,,,,,,,1.782291292,2.663484359,3.039060024,4.141179096,4.299441825,8.584271803,3.343521893,3.661182298,4.063400733,3.645947485,,
AFW,FP.CPI.TOTL.ZG,2.530775167,4.36152914,3.188693302,1.760904101,0.694336306,5.631633514,4.415899842,3.60736768,8.449721535,3.282440376,1.784844205,4.018699075,4.578374635,2.439200761,1.75805196,2.130268062,1.494563664,1.764634952,1.784049948,1.758565176,2.492521734,3.925602831
AFW,FR.INR.LNDP,,,,,,2.759583333,-3.085,-3.061666667,-3.14,-3.601666667,-3.273333333,-3.244916667,-2.953333333,-2.366666667,-1.92,-1.844166667,-1.63,1.6675,,,,
AFW,SL.TLF.CACT.FE.ZS,59.65958813,59.56471518,59.47708349,59.37931604,59.30475036,59.18861571,59.03604373,58.93835051,58.68404042,58.41886861,58.14291963,58.03768943,56.70766826,55.37049262,54.99980908,54.80539344,54.5488059,54.29550018,54.11860734,53.97791612,52.76462894,52.99073917
AFW,SL.TLF.CACT.MA.ZS,71.26375056,71.18036269,71.07705847,70.97747487,70.90603916,70.78780277,70.75053994,70.61080787,70.38208579,70.13063412,69.85607627,69.69825561,68.26305689,66.78991475,66.62087261,66.55813846,66.59784118,66.62513104,66.66278092,66.70608126,65.6107103,65.91889434
